iadr,id_t,id_txi,id_txo_in,id_txo_out,input_val,oadr,output_val,,,,,,,,,,,,,,,,,,,,
1GWcWVjXxpL8gh4N3CYjByVFkQaNzVbZKC,113001815,449169866,876204255,876895793,5.98E-05,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,0.734742,,,,,,,,,,,,,,,,,,,,
1Eo5XgbroeXES3nbA7bf8XB59uB2gwrRzn,113001815,449169866,876204255,876895793,5.98E-05,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,0.734742,,,,,,,,,,,,,,,,,,,,
1LDN1UJhJeR9odtGxCXTHzvQwGsNiziuac,113001815,449169865,876347832,876895793,0.734725,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,0.734742,,,,,,,,,,,,,,,,,,,,
1P54JTdejw5B5aAfzUUMEkcH8qRvpxyB1h,113001815,449169865,876347832,876895793,0.734725,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,0.734742,,,,,,,,,,,,,,,,,,,,
1CZUFxzfksdHJExE5DRuMcyVBERSTv2xy9,113001815,449169865,876347832,876895793,0.734725,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,0.734742,,,,,,,,,,,,,,,,,,,,
1BZMr1PtpoFDKugwWAawZQHa3ZbW39qMhG,113001814,449169864,876204006,876895792,9.99E-05,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,0.378277,,,,,,,,,,,,,,,,,,,,
17KPuAxtC4TzyUSSfFSCB8eRSeFVMfcpaK,113001814,449169864,876204006,876895792,9.99E-05,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,0.378277,,,,,,,,,,,,,,,,,,,,
1D7X3bpPDsWTTuGcgx8ervHrbLtHcyKwN9,113001814,449169864,876204006,876895792,9.99E-05,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,0.378277,,,,,,,,,,,,,,,,,,,,
1239fLdSqKuay6TR7A3ey6azKxzcktM27n,113001814,449169863,876203995,876895792,9.76E-05,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,0.378277,,,,,,,,,,,,,,,,,,,,
19Kt9e32vCeJRgGwgPYyUEKh1SCYw9Wmpp,113001814,449169863,876203995,876895792,9.76E-05,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,0.378277,,,,,,,,,,,,,,,,,,,,
1A2vPkDV7AbzHA9jUuyGUYXexupYDe9REE,113001814,449169863,876203995,876895792,9.76E-05,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,0.378277,,,,,,,,,,,,,,,,,,,,
1FFFrgJEsc1bvLLC8GTyjNYQc66F6LzS3M,113001814,449169862,876341079,876895792,0.378179,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,0.378277,,,,,,,,,,,,,,,,,,,,
16shk4EWwisNp6v6MGp2o3nqt8dygkpsP4,113001814,449169862,876341079,876895792,0.378179,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,0.378277,,,,,,,,,,,,,,,,,,,,
15Zj3sZqQ1DukeWZRLKrtfLrqmvq38oxFR,113001814,449169862,876341079,876895792,0.378179,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,0.378277,,,,,,,,,,,,,,,,,,,,
1CrcR246B59cYDTfiu7kcE175rNv7m8uV9,113001813,449169861,875975985,876895791,0.00029203,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT,1.04417,,,,,,,,,,,,,,,,,,,,
19RksrDtGVNW4HWrd8pv1fosJvisrhkeU6,113001813,449169861,875975985,876895791,0.00029203,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT,1.04417,,,,,,,,,,,,,,,,,,,,
1LjFQaPnC8RfWUvnHmkT8CKEfmKY8vQC9K,113001813,449169861,875975985,876895791,0.00029203,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT,1.04417,,,,,,,,,,,,,,,,,,,,
17Bxk5z6cBMpYfFvjtUZoujwSkdu9ao8LB,113001813,449169860,875975982,876895791,0.00029226,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT,1.04417,,,,,,,,,,,,,,,,,,,,
1HC6baRowniQL9iRemqcAK4uQVudCGzLwc,113001813,449169860,875975982,876895791,0.00029226,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT,1.04417,,,,,,,,,,,,,,,,,,,,
1Mtbym4nrd3MWroChB3YFLRKbHk3R9hYym,113001813,449169860,875975982,876895791,0.00029226,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT,1.04417,,,,,,,,,,,,,,,,,,,,
1DqLptBFweLSoTqbrfcEi3qJDxTgEJuFDx,113001813,449169859,876558567,876895791,1.04369,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT,1.04417,,,,,,,,,,,,,,,,,,,,
1BsrSfphzcogypRFJcENBN62jeFJMUjVMg,113001813,449169859,876558567,876895791,1.04369,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT,1.04417,,,,,,,,,,,,,,,,,,,,
1C2inpgJb2ikPPqdyScoB5vcmdaad1bAsR,113001813,449169859,876558567,876895791,1.04369,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT,1.04417,,,,,,,,,,,,,,,,,,,,
