user,unique_sent_user,unique_sent,max_sent,min_sent,unique_sent_adr,unique_sent_tx,total_sent,unique_rec,unique_rec_tx,unique_rec_user,unique_rec_adr,max_rec,min_rec,total_rec,num_tx,is_miner,category
4853,2.0,2.0,0.00037492,0.00015368,2.0,1.0,0.0005286,4.0,2.0,2.0,4.0,0.00017492,0.00015368,0.0003286,3.0,0,unknown
4854,2.0,2.0,0.00074946,0.00015369,2.0,1.0,0.0009031499999999999,2.0,1.0,1.0,2.0,0.00054946,0.00054946,0.00054946,2.0,0,unknown
4855,2.0,2.0,0.00097462,0.00015532,2.0,1.0,0.00112994,4.0,2.0,2.0,4.0,0.00077462,0.00015532,0.00092994,3.0,0,unknown
4856,2.0,2.0,0.00077473,0.00015579,2.0,1.0,0.00093052,2.0,1.0,1.0,2.0,0.00057473,0.00057473,0.00057473,2.0,0,unknown
4857,2.0,2.0,0.0107,0.00166478,2.0,1.0,0.012364779999999999,4.0,2.0,2.0,4.0,0.0107,0.00146478,0.01216478,3.0,0,unknown
4858,2.0,2.0,0.0099,0.005,2.0,1.0,0.014900000000000002,2.0,1.0,1.0,2.0,0.013,0.013,0.013,2.0,0,unknown
4859,2.0,2.0,0.00214111,0.00146164,2.0,1.0,0.00360275,2.0,1.0,1.0,2.0,0.00126164,0.00126164,0.00126164,2.0,0,unknown
4860,2.0,2.0,0.00217433,0.00014779,2.0,1.0,0.00232212,4.0,2.0,2.0,4.0,0.00197433,0.00014779,0.00212212,3.0,0,unknown
4861,2.0,2.0,0.00217473,0.000148,2.0,1.0,0.00232273,2.0,1.0,1.0,2.0,0.00197473,0.00197473,0.00197473,2.0,0,unknown
4862,2.0,2.0,0.0117035,0.0005744,2.0,1.0,0.012277900000000001,2.0,1.0,1.0,2.0,0.0003744,0.0003744,0.0003744,2.0,0,unknown
4863,2.0,2.0,0.0003,3e-05,2.0,1.0,0.00035999999999999997,11.0,3.0,2.0,2.0,0.0003,3e-05,0.0004200000000000001,4.0,0,unknown
4864,2.0,2.0,0.0003,3e-05,2.0,1.0,0.00035999999999999997,11.0,3.0,2.0,2.0,0.0003,3e-05,0.0004200000000000001,4.0,0,unknown
4865,2.0,2.0,0.007853,0.00056196,2.0,1.0,0.00841496,2.0,1.0,1.0,2.0,0.00036196,0.00036196,0.00036196,2.0,0,unknown
4866,2.0,2.0,0.00037471,0.00012537,2.0,1.0,0.00050008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4867,2.0,2.0,0.0107082,0.00166488,2.0,1.0,0.012373079999999998,2.0,1.0,1.0,2.0,0.00146488,0.00146488,0.00146488,2.0,0,unknown
4868,1.0,1.0,0.0354915,0.0354915,1.0,1.0,0.0354915,1.0,1.0,1.0,1.0,0.0353845,0.0353845,0.0353845,2.0,0,unknown
4869,4.0,4.0,11.0,7.014e-05,4.0,2.0,27.90331189,63.0,26.0,23.0,56.0,11.0,7.014e-05,29.031892289999977,28.0,0,unknown
4870,2.0,2.0,0.0198738,0.0103293,2.0,1.0,0.041629,12.0,4.0,4.0,12.0,0.0198738,0.0103293,0.05295810000000001,5.0,0,unknown
4871,1.0,1.0,8.57521,8.57521,1.0,1.0,8.57521,2.0,2.0,2.0,2.0,8.57521,8.5751,17.15031,3.0,0,unknown
4872,2.0,2.0,0.0214333,0.00037492,2.0,1.0,0.02180822,2.0,1.0,1.0,2.0,0.00017492,0.00017492,0.00017492,2.0,0,unknown
4873,2.0,2.0,5.0,2.329e-05,2.0,1.0,5.3636216899999996,16.0,5.0,5.0,16.0,5.0,2.329e-05,5.025142259999996,6.0,0,unknown
4874,2.0,2.0,0.0490223,0.0490223,2.0,1.0,0.0490223,3.0,2.0,2.0,3.0,0.0490223,0.0183892,0.0674115,3.0,0,unknown
4875,2.0,2.0,0.0874,0.0874,2.0,1.0,0.0874,1.0,1.0,1.0,1.0,0.05725,0.05725,0.05725,2.0,0,unknown
4876,2.0,2.0,5.34237,5.34237,2.0,1.0,5.34237,1.0,1.0,1.0,1.0,5.02068,5.02068,5.02068,2.0,0,unknown
4877,2.0,2.0,6.08159,6.08159,2.0,1.0,6.08159,1.0,1.0,1.0,1.0,5.93144,5.93144,5.93144,2.0,0,unknown
4878,1.0,1.0,0.0287357,0.0287357,1.0,1.0,0.0287357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4879,2.0,2.0,0.504231,0.0592026,2.0,1.0,0.5634336,1.0,1.0,1.0,1.0,0.0592026,0.0592026,0.0592026,2.0,0,unknown
4880,2.0,3.0,0.00519762,0.00519762,3.0,1.0,0.00519762,5.0,2.0,2.0,5.0,0.00497032,2.73e-05,0.00549762,3.0,0,unknown
4881,13.0,13.0,3.77756,0.887718,13.0,1.0,4.665277999999996,2.0,2.0,2.0,2.0,3.77756,0.887718,4.665278,3.0,0,unknown
4882,3.0,3.0,0.74558,0.74558,3.0,1.0,0.74558,1.0,1.0,1.0,1.0,0.74558,0.74558,0.74558,2.0,0,unknown
4883,1.0,2.0,0.011568,0.011568,2.0,1.0,0.011568,1.0,1.0,1.0,1.0,0.008902,0.002466,0.011368,2.0,0,unknown
4884,1.0,1.0,0.0999,0.0999,1.0,1.0,0.0999,6.0,2.0,2.0,6.0,0.0999,0.0997,0.1996,3.0,0,unknown
